community,model,prompt_id,category,divergence
Jingpo/Kachin,DeepSeek-V3.2,A3,A,0.20454400777816772
Jingpo/Kachin,DeepSeek-V3.2,B1,B,0.1646050214767456
Jingpo/Kachin,DeepSeek-V3.2,B2,B,0.18312644958496094
Jingpo/Kachin,DeepSeek-V3.2,B3,B,0.17580842971801758
Jingpo/Kachin,DeepSeek-V3.2,C1,C,0.25990235805511475
Jingpo/Kachin,DeepSeek-V3.2,C2,C,0.406402587890625
Jingpo/Kachin,DeepSeek-V3.2,D1,D,0.25544852018356323
Jingpo/Kachin,DeepSeek-V3.2,D2,D,0.1310943365097046
Jingpo/Kachin,DeepSeek-V3.2,D3,D,0.26873117685317993
Jingpo/Kachin,GPT-5.1,A1,A,0.3018606901168823
Jingpo/Kachin,GPT-5.1,A2,A,0.14200174808502197
Jingpo/Kachin,GPT-5.1,A3,A,0.33760982751846313
Jingpo/Kachin,GPT-5.1,B1,B,0.13853389024734497
Jingpo/Kachin,GPT-5.1,B2,B,0.16745460033416748
Jingpo/Kachin,GPT-5.1,B3,B,0.1396033763885498
Jingpo/Kachin,GPT-5.1,C1,C,0.2161099910736084
Jingpo/Kachin,GPT-5.1,C2,C,0.14346832036972046
Jingpo/Kachin,GPT-5.1,D1,D,0.22881555557250977
Jingpo/Kachin,GPT-5.1,D2,D,0.18566572666168213
Jingpo/Kachin,GPT-5.1,D3,D,0.22999918460845947
Lahu,DeepSeek-V3.2,A1,A,0.18462777137756348
Lahu,DeepSeek-V3.2,A2,A,0.27528440952301025
Lahu,DeepSeek-V3.2,A3,A,0.275518000125885
Lahu,DeepSeek-V3.2,B1,B,0.19353091716766357
Lahu,DeepSeek-V3.2,B2,B,0.21994102001190186
Lahu,DeepSeek-V3.2,B3,B,0.151139497756958
Lahu,DeepSeek-V3.2,C1,C,0.2739627957344055
Lahu,DeepSeek-V3.2,C2,C,0.27615606784820557
Lahu,DeepSeek-V3.2,D1,D,0.23827028274536133
Lahu,DeepSeek-V3.2,D2,D,0.23181909322738647
Lahu,DeepSeek-V3.2,D3,D,0.18614888191223145
Lahu,GPT-5.1,A1,A,0.2787691354751587
Lahu,GPT-5.1,A2,A,0.27491456270217896
Lahu,GPT-5.1,A3,A,0.19905948638916016
Lahu,GPT-5.1,B1,B,0.16468799114227295
Lahu,GPT-5.1,B2,B,0.15734678506851196
Lahu,GPT-5.1,B3,B,0.26165008544921875
Lahu,GPT-5.1,C1,C,0.15428423881530762
Lahu,GPT-5.1,C2,C,0.213722825050354
Lahu,GPT-5.1,D1,D,0.35290563106536865
Lahu,GPT-5.1,D2,D,0.25036418437957764
Lahu,GPT-5.1,D3,D,0.2176811695098877
Lisu,DeepSeek-V3.2,A1,A,0.3433443307876587
Lisu,DeepSeek-V3.2,A2,A,0.31926560401916504
Lisu,DeepSeek-V3.2,A3,A,0.29276424646377563
Lisu,DeepSeek-V3.2,B1,B,0.24595880508422852
Lisu,DeepSeek-V3.2,B2,B,0.32009458541870117
Lisu,DeepSeek-V3.2,B3,B,0.36443573236465454
Lisu,DeepSeek-V3.2,C1,C,0.31670135259628296
Lisu,DeepSeek-V3.2,C2,C,0.5874634683132172
Lisu,DeepSeek-V3.2,D1,D,0.3587023615837097
Lisu,DeepSeek-V3.2,D2,D,0.41789352893829346
Lisu,DeepSeek-V3.2,D3,D,0.45843374729156494
Lisu,GPT-5.1,A1,A,0.3963395357131958
Lisu,GPT-5.1,A2,A,0.30602067708969116
Lisu,GPT-5.1,A3,A,0.35550934076309204
Lisu,GPT-5.1,B1,B,0.2209910750389099
Lisu,GPT-5.1,B2,B,0.28902268409729004
Lisu,GPT-5.1,B3,B,0.2963296175003052
Lisu,GPT-5.1,C1,C,0.35463058948516846
Lisu,GPT-5.1,C2,C,0.21569699048995972
Lisu,GPT-5.1,D1,D,0.5019395351409912
Lisu,GPT-5.1,D2,D,0.37037885189056396
Lisu,GPT-5.1,D3,D,0.42196476459503174
Miao/Hmong,DeepSeek-V3.2,A1,A,0.22268128395080566
Miao/Hmong,DeepSeek-V3.2,A2,A,0.30423200130462646
Miao/Hmong,DeepSeek-V3.2,A3,A,0.12688004970550537
Miao/Hmong,DeepSeek-V3.2,B1,B,0.14459490776062012
Miao/Hmong,DeepSeek-V3.2,B2,B,0.16789281368255615
Miao/Hmong,DeepSeek-V3.2,B3,B,0.16408443450927734
Miao/Hmong,DeepSeek-V3.2,C1,C,0.20696091651916504
Miao/Hmong,DeepSeek-V3.2,C2,C,0.27850592136383057
Miao/Hmong,DeepSeek-V3.2,D1,D,0.18826067447662354
Miao/Hmong,DeepSeek-V3.2,D2,D,0.1791318655014038
Miao/Hmong,DeepSeek-V3.2,D3,D,0.3976709842681885
Miao/Hmong,GPT-5.1,A1,A,0.2421807050704956
Miao/Hmong,GPT-5.1,A2,A,0.1375521421432495
Miao/Hmong,GPT-5.1,A3,A,0.29228508472442627
Miao/Hmong,GPT-5.1,B1,B,0.38053977489471436
Miao/Hmong,GPT-5.1,B2,B,0.19349992275238037
Miao/Hmong,GPT-5.1,B3,B,0.12251830101013184
